Company Name,Contact Name,Job Title,Work Email,Website,Industry,Employee Count,Annual Revenue,Location,LinkedIn URL,Phone
Foxglove Packaging,Robert Hartley,CFO,robert@acme-hvac-services.invalid,https://www.acme-hvac-services.invalid,Food & Beverage,4261,"$1,021,830,410","Kansas City, MO",,
Pinnacle Logistics,Nina Petrov,,nina.petrov@asana.com,https://www.asana.com,Facilities Management,9,"$2,403,243","Richmond, VA",https://linkedin.com/in/nina-petrov-143,
Northwind Health Partners,Kevin Sorensen,President,accounts@zoominfo.com,https://www.zoominfo.com,Logistics,3971,"$515,201,511","Salt Lake City, UT",https://linkedin.com/in/kevin-sorensen-144,+1 397-600-6040
Silverbrook Distribution,Nina Gallagher,"Vice President, Finance",info@gitlab.com,https://www.gitlab.com,Facilities Management,220,,"Richmond, VA",https://linkedin.com/in/nina-gallagher-145,
Tidewater Automotive,Marcus Chen,General Manager,,https://www.twilio.com,,190,"$44,877,430","Columbus, OH",,+1 880-439-2945
Foxglove Industrial,Rachel Chen,,rachel.chen@mailchimp.com,https://www.mailchimp.com,Facilities Management,247,,"Tampa, FL",https://linkedin.com/in/rachel-chen-147,
Copperline Fabrication,Sarah Whitfield,Plant Manager,admin@squarespace.com,https://www.squarespace.com,Construction,,"$33,314,448","Richmond, VA",,+1 229-654-7566
Foxglove Plumbing,Priya Delgado,Intern,priyadelgado65@hotmail.com,https://www.hotmail.com,Industrial Services,1680,"$444,551,520","Phoenix, AZ",https://linkedin.com/in/priya-delgado-149,
Tidewater Packaging,Claire Nakamura,General Manager,clairenakamura32@yahoo.com,https://www.yahoo.com,Manufacturing,123,"$30,166,734","Phoenix, AZ",,
Redwood Freight,Marcus Ibrahim,COO,marcus@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Automotive,7,"$1,667,295","Nashville, TN",,+1 397-326-5841
Redwood Machining,Linda Ferreira,Director of Operations,linda.ferreira@zendesk.com,https://www.zendesk.com,Food & Beverage,43,,"Richmond, VA",https://linkedin.com/in/linda-ferreira-152,+1 602-578-9160
Copperline Fabrication,Maria Whitfield,Intern,maria.whitfield@intuit.com,https://www.intuit.com,Manufacturing,6622,"$1,634,422,174","Dallas, TX",https://linkedin.com/in/maria-whitfield-153,+1 773-194-1471
Cornerstone Logistics,Michael Ahmed,,michael.ahmed@zendesk.com,https://www.zendesk.com,Logistics,8508,"$949,178,004","Nashville, TN",https://linkedin.com/in/michael-ahmed-154,
Granite Industrial,Claire Ahmed,CFO,claire@acme-hvac-services.invalid,https://www.acme-hvac-services.invalid,Logistics,163,"$29,429,487","Charlotte, NC",,+1 773-851-9118
Foxglove Industrial,Paul Mbeki,Head of Procurement,paulmbeki24@hotmail.com,https://www.hotmail.com,Facilities Management,7682,"$957,353,886","Richmond, VA",,
Ironclad HVAC Services,James Novak,CFO,jamesnovak55@gmail.com,https://www.gmail.com,Professional Services,174,"$32,029,398","Kansas City, MO",https://linkedin.com/in/james-novak-157,
Cornerstone Health Partners,Linda Ferreira,Owner,linda.ferreira@asana.com,https://www.asana.com,Facilities Management,211,,"Indianapolis, IN",https://linkedin.com/in/linda-ferreira-158,
Granite Industrial,Paul Novak,Operations Manager,paul.novak@squarespace.com,https://www.squarespace.com,Automotive,97,"$20,294,146","Richmond, VA",https://linkedin.com/in/paul-novak-159,
Foxglove Facilities,Michael Delgado,Plant Manager,michaeldelgado40@gmail.com,https://www.gmail.com,Industrial Services,53,,"Charlotte, NC",https://linkedin.com/in/michael-delgado-160,+1 590-886-3714
Blue Ridge Manufacturing,Marcus Silva,VP of Operations,marcus@acme-hvac-services.invalid,https://www.acme-hvac-services.invalid,Professional Services,3,"$577,917","Phoenix, AZ",,+1 712-195-4563
Redwood HVAC Services,,Founder,contact@salesforce.com,https://www.salesforce.com,Healthcare,80,"$21,106,880","Columbus, OH",https://linkedin.com/in/sarah-rasmussen-162,
Blue Ridge Machining,Nina Whitfield,Chief Executive Officer,nina.whitfield@zendesk.com,https://www.zendesk.com,Construction,176,"$21,893,872","Richmond, VA",https://linkedin.com/in/nina-whitfield-163,+1 425-597-7888
Granite Machining,Marcus Chen,Intern,marcus.chen@intuit.com,https://www.intuit.com,,3,"$879,618","Dallas, TX",https://linkedin.com/in/marcus-chen-164,+1 533-237-2023
Ironclad Plumbing,Claire Ferreira,Operations Analyst,claireferreira90@outlook.com,https://www.outlook.com,Wholesale Distribution,111,"$31,824,810","Phoenix, AZ",https://linkedin.com/in/claire-ferreira-165,
Ironclad Logistics,Daniel Kowalski,Operations Manager,accounts@zendesk.com,https://www.zendesk.com,Industrial Services,27,"$7,985,979","Richmond, VA",https://linkedin.com/in/daniel-kowalski-166,
Redwood Packaging,Michael Sorensen,Owner,michael.sorensen@asana.com,https://www.asana.com,Healthcare,144,"$40,890,096","Phoenix, AZ",https://linkedin.com/in/michael-sorensen-167,+1 813-891-6769
Granite Packaging,Robert Whitfield,CFO,,https://www.digitalocean.com,Logistics,195,"$39,539,760","Salt Lake City, UT",https://linkedin.com/in/robert-whitfield-168,+1 354-494-9042
Granite Packaging,Robert Whitfield,CFO,,https://www.digitalocean.com,Logistics,195,"$39,539,760","Salt Lake City, UT",https://linkedin.com/in/robert-whitfield-168,+1 354-494-9042
Redwood Automotive,Michael Silva,General Manager,,https://www.digitalocean.com,Manufacturing,136,,"Columbus, OH",,+1 997-661-4531
Kestrel Health Partners,Maria Kowalski,Operations Manager,maria.kowalski@squarespace.com,https://www.squarespace.com,,,"$14,779,575","Dallas, TX",,
Summit Electrical,Rachel Novak,Operations Manager,support@twilio.com,https://www.twilio.com,Wholesale Distribution,1861,"$458,907,712","Dallas, TX",,
Ironclad Automotive,Omar Whitfield,Operations Manager,omar81@guerrillamail.com,https://www.guerrillamail.com,Industrial Services,10,"$1,804,240","Phoenix, AZ",https://linkedin.com/in/omar-whitfield-172,
Foxglove Industrial,Maria Whitfield,Operations Manager,info@asana.com,https://www.asana.com,Construction,5,"$1,381,205","Charlotte, NC",,+1 364-100-1850
Ironclad Machining,Claire Gallagher,Field Technician,,https://www.cloudflare.com,Manufacturing,86,,"Charlotte, NC",,+1 366-966-1142
Summit Plumbing,,Managing Director,marcus.ibrahim@intuit.com,https://www.intuit.com,Construction,,"$378,714,360","Phoenix, AZ",https://linkedin.com/in/marcus-ibrahim-175,+1 975-543-9673
Granite Automotive,Aisha Okonkwo,VP of Operations,sales@zendesk.com,https://www.zendesk.com,Facilities Management,108,"$10,859,292","Columbus, OH",https://linkedin.com/in/aisha-okonkwo-176,+1 591-651-9847
Cornerstone Packaging,Robert Hartley,Sales Representative,robert@summit-logistics-llc.invalid,https://www.summit-logistics-llc.invalid,Manufacturing,111,"$24,311,220","Dallas, TX",https://linkedin.com/in/robert-hartley-177,+1 887-973-6631
Northwind Logistics,Nina Ahmed,Executive Assistant,nina.ahmed@figma.com,https://www.figma.com,Industrial Services,3342,"$385,085,292","Phoenix, AZ",https://linkedin.com/in/nina-ahmed-178,+1 795-296-3522
Kestrel Machining,,,claire.petrov@twilio.com,https://www.twilio.com,Professional Services,235,"$24,772,995","Indianapolis, IN",,
Granite Health Partners,Robert Ferreira,Director of IT,robert694@guerrillamail.com,https://www.guerrillamail.com,Facilities Management,25,"$6,802,975","Richmond, VA",,+1 827-790-1050
Ironclad Automotive,Paul Chen,Field Technician,paul.chen@zendesk.com,https://www.zendesk.com,Manufacturing,78,"$14,192,412","Columbus, OH",https://linkedin.com/in/paul-chen-181,+1 760-197-3437
Copperline HVAC Services,Thomas Lindqvist,Marketing Coordinator,thomaslindqvist22@gmail.com,https://www.gmail.com,Facilities Management,72,"$13,702,536","Kansas City, MO",https://linkedin.com/in/thomas-lindqvist-182,
Harbor Manufacturing,James Whitfield,,james.whitfield@salesforce.com,https://www.salesforce.com,Industrial Services,5385,"$950,016,315","Salt Lake City, UT",https://linkedin.com/in/james-whitfield-183,
Cornerstone Machining,Robert Silva,Marketing Coordinator,robert@acme-hvac-services.invalid,https://www.acme-hvac-services.invalid,Industrial Services,64,"$16,243,456","Kansas City, MO",https://linkedin.com/in/robert-silva-184,+1 668-176-2231
Pinnacle HVAC Services,Michael Chen,General Manager,michael.chen@digitalocean.com,https://www.digitalocean.com,Construction,233,"$29,017,820","Kansas City, MO",https://linkedin.com/in/michael-chen-185,+1 426-928-6209
Granite Manufacturing,Daniel Okonkwo,Chief Executive Officer,daniel@northwind-freight-co.example,https://www.northwind-freight-co.example,Professional Services,10,"$1,400,780","Tampa, FL",,+1 801-179-6800
Granite Distribution,Robert Delgado,"Vice President, Finance",,https://www.digitalocean.com,Construction,,"$37,423,867","Columbus, OH",https://linkedin.com/in/robert-delgado-187,+1 268-946-6607
Tidewater Automotive,Nina Novak,Junior Accountant,nina.novak@stripe.com,https://www.stripe.com,Facilities Management,52,"$12,498,616","Charlotte, NC",https://linkedin.com/in/nina-novak-188,+1 276-611-1476
Redwood Freight,Grace Delgado,General Manager,grace@summit-logistics-llc.invalid,https://www.summit-logistics-llc.invalid,Construction,193,"$48,555,326","Phoenix, AZ",https://linkedin.com/in/grace-delgado-189,
Cornerstone Freight,Robert Delgado,Managing Director,robertdelgado38@gmail.com,https://www.gmail.com,Facilities Management,2,"$332,046","Dallas, TX",https://linkedin.com/in/robert-delgado-190,
Pinnacle Facilities,Sarah Bergstrom,President,admin@zendesk.com,https://www.zendesk.com,Industrial Services,4,"$866,508","Indianapolis, IN",https://linkedin.com/in/sarah-bergstrom-191,+1 624-888-5603
Harbor Fabrication,Kevin Delgado,Co-Founder,kevin.delgado@squarespace.com,https://www.squarespace.com,,98,"$11,706,982","Charlotte, NC",https://linkedin.com/in/kevin-delgado-192,
Tidewater Packaging,,Executive Assistant,,https://www.digitalocean.com,Industrial Services,8,"$1,444,840","Salt Lake City, UT",,+1 366-482-2059
Pinnacle Packaging,Sarah Rasmussen,Plant Manager,sarah.rasmussen@gitlab.com,https://www.gitlab.com,Logistics,,"$52,309,179","Nashville, TN",https://linkedin.com/in/sarah-rasmussen-194,+1 285-578-1223
Redwood Industrial,Aisha Vasquez,"Vice President, Finance",aisha@northwind-freight-co.example,https://www.northwind-freight-co.example,Automotive,8857,"$1,371,922,729","Richmond, VA",https://linkedin.com/in/aisha-vasquez-195,+1 832-509-7514
Granite Electrical,Marcus Kowalski,,marcus.kowalski@asana.com,https://www.asana.com,Professional Services,42,"$11,105,052","Columbus, OH",,
Blue Ridge Manufacturing,Robert Ibrahim,Managing Director,robertibrahim67@hotmail.com,https://www.hotmail.com,Food & Beverage,113,"$29,813,468","Phoenix, AZ",https://linkedin.com/in/robert-ibrahim-197,
Summit Machining,Thomas Delgado,Director of Operations,thomas.delgado@squarespace.com,https://www.squarespace.com,Healthcare,192,"$23,144,064","Phoenix, AZ",,
Ironclad Logistics,Maria Nakamura,Director of Operations,maria.nakamura@datadoghq.com,https://www.datadoghq.com,Industrial Services,6596,"$1,181,224,872","Charlotte, NC",,
Blue Ridge Machining,Claire Chen,Managing Director,claire.chen@gitlab.com,https://www.gitlab.com,Wholesale Distribution,215,,"Dallas, TX",https://linkedin.com/in/claire-chen-200,+1 870-365-4447
Northwind Electrical,Grace Mbeki,,grace.mbeki@mailchimp.com,https://www.mailchimp.com,Wholesale Distribution,160,"$37,911,520","Nashville, TN",https://linkedin.com/in/grace-mbeki-201,+1 462-570-2402
Northwind Electrical,Grace Mbeki,,grace.mbeki@mailchimp.com,https://www.mailchimp.com,Wholesale Distribution,160,"$37,911,520","Nashville, TN",https://linkedin.com/in/grace-mbeki-201,+1 462-570-2402
Pinnacle Fabrication,,COO,contact@mailchimp.com,https://www.mailchimp.com,,150,"$24,062,250","Indianapolis, IN",https://linkedin.com/in/maria-nakamura-202,+1 477-749-9575
Pinnacle Fabrication,,COO,contact@mailchimp.com,https://www.mailchimp.com,,150,"$24,062,250","Indianapolis, IN",https://linkedin.com/in/maria-nakamura-202,+1 477-749-9575
Summit Logistics,David Vasquez,General Manager,david@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Logistics,219,"$44,584,677","Columbus, OH",https://linkedin.com/in/david-vasquez-203,
Tidewater Dental Group,Maria Delgado,Managing Director,maria.delgado@asana.com,https://www.asana.com,,5271,"$1,365,131,019","Nashville, TN",https://linkedin.com/in/maria-delgado-204,+1 651-690-2238
Copperline Distribution,Thomas Lindqvist,Head of Procurement,thomas.lindqvist@notion.so,https://www.notion.so,Healthcare,5,"$1,148,100","Charlotte, NC",https://linkedin.com/in/thomas-lindqvist-205,
Meridian Freight,Claire Sorensen,COO,contact@stripe.com,https://www.stripe.com,Facilities Management,9054,,"Richmond, VA",https://linkedin.com/in/claire-sorensen-206,+1 815-446-4463
Northwind Plumbing,David Ferreira,Junior Accountant,david.ferreira@cloudflare.com,https://www.cloudflare.com,Facilities Management,184,"$29,867,616","Charlotte, NC",,
Ironclad Facilities,Paul Hartley,General Manager,paul.hartley@asana.com,https://www.asana.com,Facilities Management,6916,,"Indianapolis, IN",https://linkedin.com/in/paul-hartley-208,
Pinnacle Distribution,Paul Sorensen,Owner,paul.sorensen@gitlab.com,https://www.gitlab.com,Logistics,194,"$20,108,682","Tampa, FL",,+1 465-482-1167
Tidewater Facilities,Robert Petrov,Operations Manager,accounts@stripe.com,https://www.stripe.com,,130,"$21,745,230","Dallas, TX",https://linkedin.com/in/robert-petrov-210,+1 745-724-7527
Cornerstone Distribution,Nina Whitfield,,nina.whitfield@notion.so,https://www.notion.so,Facilities Management,1644,"$179,671,116","Salt Lake City, UT",,+1 472-158-6630
Summit Freight,Aisha Silva,Managing Director,aisha.silva@gitlab.com,https://www.gitlab.com,Industrial Services,31,"$3,644,267","Charlotte, NC",https://linkedin.com/in/aisha-silva-212,+1 678-132-5158
Copperline Packaging,Rachel Mbeki,General Manager,rachel.mbeki@atlassian.com,https://www.atlassian.com,Healthcare,87,,"Dallas, TX",https://linkedin.com/in/rachel-mbeki-213,+1 284-384-8039
Meridian Machining,David Ahmed,Co-Founder,davidahmed76@outlook.com,https://www.outlook.com,Logistics,2569,"$681,483,768","Salt Lake City, UT",,+1 726-236-7392
Silverbrook Automotive,Aisha Whitfield,Field Technician,aisha.whitfield@figma.com,https://www.figma.com,,89,"$12,992,131","Nashville, TN",,+1 855-201-7467
Ironclad Machining,Maria Delgado,Managing Director,maria504@mailinator.com,https://www.mailinator.com,Wholesale Distribution,,"$2,153,560","Tampa, FL",https://linkedin.com/in/maria-delgado-216,+1 268-952-5248
Harbor Automotive,James Bergstrom,"Vice President, Finance",james.bergstrom@wix.com,https://www.wix.com,Healthcare,8,"$1,100,168","Richmond, VA",,+1 607-856-8189
Foxglove Plumbing,Claire Whitfield,Founder,claire.whitfield@zoominfo.com,https://www.zoominfo.com,Wholesale Distribution,6559,"$704,633,370","Charlotte, NC",,
Silverbrook Electrical,Aisha Silva,Sales Representative,aisha.silva@shopify.com,https://www.shopify.com,Professional Services,5729,,"Kansas City, MO",https://linkedin.com/in/aisha-silva-219,+1 874-698-1218
Pinnacle Freight,Grace Ibrahim,CFO,grace@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Automotive,162,"$47,590,416","Richmond, VA",,
Silverbrook Health Partners,Linda Ibrahim,President,linda.ibrahim@intuit.com,https://www.intuit.com,Industrial Services,5928,"$1,342,733,496","Charlotte, NC",https://linkedin.com/in/linda-ibrahim-221,
Northwind HVAC Services,Marcus Nakamura,Field Technician,contact@intuit.com,https://www.intuit.com,Facilities Management,17,,"Columbus, OH",https://linkedin.com/in/marcus-nakamura-222,
Cornerstone HVAC Services,Omar Mbeki,Operations Manager,omar.mbeki@datadoghq.com,https://www.datadoghq.com,Wholesale Distribution,4789,"$646,941,221","Columbus, OH",,+1 714-206-1738
Redwood Fabrication,Elena Petrov,Intern,info@twilio.com,https://www.twilio.com,Food & Beverage,8161,"$1,642,303,318","Charlotte, NC",https://linkedin.com/in/elena-petrov-224,+1 966-367-1819
Harbor Health Partners,Rachel Ahmed,COO,rachel.ahmed@squarespace.com,https://www.squarespace.com,Facilities Management,1381,"$334,043,185","Richmond, VA",https://linkedin.com/in/rachel-ahmed-225,+1 731-112-8380
Ironclad Fabrication,Thomas Lindqvist,Sales Representative,thomas@summit-logistics-llc.invalid,https://www.summit-logistics-llc.invalid,Healthcare,226,"$47,015,684","Kansas City, MO",,+1 375-154-3546
Tidewater Fabrication,Paul Sorensen,President,paul.sorensen@cloudflare.com,https://www.cloudflare.com,Healthcare,64,"$8,046,912","Phoenix, AZ",https://linkedin.com/in/paul-sorensen-227,+1 318-749-4978
Copperline HVAC Services,Claire Novak,Marketing Coordinator,claire.novak@digitalocean.com,https://www.digitalocean.com,Industrial Services,8284,"$907,884,980","Tampa, FL",https://linkedin.com/in/claire-novak-228,+1 781-371-5665
Harbor Dental Group,Priya Ahmed,,priya.ahmed@@atlassian.com,https://www.atlassian.com,Wholesale Distribution,2,,"Indianapolis, IN",https://linkedin.com/in/priya-ahmed-229,
Ironclad Dental Group,Omar Hartley,CFO,omar.hartley@intuit.com,https://www.intuit.com,Construction,162,,"Nashville, TN",https://linkedin.com/in/omar-hartley-230,
Kestrel Manufacturing,Elena Nakamura,,elena.nakamura@stripe.com,https://www.stripe.com,,157,"$18,852,560","Tampa, FL",https://linkedin.com/in/elena-nakamura-231,+1 901-209-6059
Ironclad Dental Group,Sarah Hartley,CFO,sarah.hartley@asana.com,https://www.asana.com,Manufacturing,21,,"Dallas, TX",https://linkedin.com/in/sarah-hartley-232,+1 571-496-8016
Ironclad Electrical,Maria Novak,Managing Director,maria.novak@shopify.com,https://www.shopify.com,Facilities Management,89,"$11,724,949","Kansas City, MO",https://linkedin.com/in/maria-novak-233,+1 893-987-8624
Blue Ridge Freight,Grace Ibrahim,"Vice President, Finance",grace.ibrahim@shopify.com,https://www.shopify.com,Construction,186,"$28,245,960","Dallas, TX",https://linkedin.com/in/grace-ibrahim-234,+1 957-512-6917
Blue Ridge Freight,Grace Ibrahim,"Vice President, Finance",grace.ibrahim@shopify.com,https://www.shopify.com,Construction,186,"$28,245,960","Dallas, TX",https://linkedin.com/in/grace-ibrahim-234,+1 957-512-6917
Silverbrook Automotive,Paul Hartley,Managing Director,paulhartley33@hotmail.com,https://www.hotmail.com,Food & Beverage,1,"$242,215","Indianapolis, IN",,+1 759-130-5359
Northwind Manufacturing,Marcus Ahmed,Operations Manager,marcus.ahmed@cloudflare.com,https://www.cloudflare.com,Logistics,192,"$33,955,200","Nashville, TN",https://linkedin.com/in/marcus-ahmed-236,
Redwood Industrial,Kevin Ibrahim,,kevin.ibrahim@digitalocean.com,https://www.digitalocean.com,Construction,123,"$36,089,307","Dallas, TX",,
Summit Packaging,,VP of Operations,james.chen@zoominfo.com,https://www.zoominfo.com,Construction,211,"$57,630,008","Indianapolis, IN",https://linkedin.com/in/james-chen-238,
Cornerstone Packaging,Robert Nakamura,Sales Representative,robert@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Manufacturing,32,"$8,128,288","Phoenix, AZ",https://linkedin.com/in/robert-nakamura-239,+1 961-116-2960
Summit Electrical,Thomas Hartley,VP of Operations,thomas.hartley@datadoghq.com,https://www.datadoghq.com,Wholesale Distribution,148,,"Dallas, TX",https://linkedin.com/in/thomas-hartley-240,+1 975-989-9692
Summit Electrical,Thomas Hartley,VP of Operations,thomas.hartley@datadoghq.com,https://www.datadoghq.com,Wholesale Distribution,148,,"Dallas, TX",https://linkedin.com/in/thomas-hartley-240,+1 975-989-9692
Tidewater Dental Group,Linda Okonkwo,Director of Operations,linda@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Facilities Management,56,"$14,474,208","Charlotte, NC",,+1 561-198-3600
Cornerstone Facilities,Nina Kowalski,General Manager,nina.kowalski@shopify.com,https://www.shopify.com,Professional Services,89,"$11,877,406","Charlotte, NC",https://linkedin.com/in/nina-kowalski-242,+1 908-498-5104
Cornerstone Manufacturing,Thomas Lindqvist,Managing Director,thomaslindqvist99@hotmail.com,https://www.hotmail.com,Construction,217,"$53,356,177","Nashville, TN",,+1 840-291-7604
Cornerstone Manufacturing,Thomas Lindqvist,Managing Director,thomaslindqvist99@hotmail.com,https://www.hotmail.com,Construction,217,"$53,356,177","Nashville, TN",,+1 840-291-7604
Redwood Health Partners,Priya Novak,Field Technician,priya.novak@digitalocean.com,https://www.digitalocean.com,Food & Beverage,39,,"Dallas, TX",,
Granite Distribution,Daniel Delgado,Sales Representative,daniel.delgado@shopify.com,https://www.shopify.com,Logistics,177,"$24,480,516","Indianapolis, IN",,
Blue Ridge Manufacturing,James Lindqvist,Sales Representative,james@acme-hvac-services.invalid,https://www.acme-hvac-services.invalid,Industrial Services,6,"$1,732,770","Nashville, TN",https://linkedin.com/in/james-lindqvist-246,
Copperline Machining,Elena Silva,Operations Manager,elena.silva@hubspot.com,https://www.hubspot.com,Food & Beverage,174,"$38,864,118","Nashville, TN",https://linkedin.com/in/elena-silva-247,
Copperline Machining,Elena Silva,Operations Manager,elena.silva@hubspot.com,https://www.hubspot.com,Food & Beverage,174,"$38,864,118","Nashville, TN",https://linkedin.com/in/elena-silva-247,
Foxglove HVAC Services,Omar Silva,Operations Analyst,info@asana.com,https://www.asana.com,Construction,8253,"$2,217,217,968","Dallas, TX",,
Tidewater Facilities,Robert Silva,CFO,robert.silva@godaddy.com,https://www.godaddy.com,Professional Services,5638,"$1,144,733,882","Charlotte, NC",https://linkedin.com/in/robert-silva-249,
Copperline Distribution,James Novak,Junior Accountant,jamesnovak88@hotmail.com,https://www.hotmail.com,Construction,4490,"$1,167,970,230","Phoenix, AZ",https://linkedin.com/in/james-novak-250,+1 799-639-3636
Harbor Dental Group,James Rasmussen,Chief Executive Officer,james.rasmussen@godaddy.com,https://www.godaddy.com,Industrial Services,103,"$10,924,901","Columbus, OH",https://linkedin.com/in/james-rasmussen-251,+1 607-604-7968
Meridian Logistics,James Gallagher,Operations Manager,jamesgallagher31@gmail.com,https://www.gmail.com,Food & Beverage,96,,"Nashville, TN",https://linkedin.com/in/james-gallagher-252,+1 380-707-5799
Foxglove Health Partners,David Lindqvist,,david@summit-logistics-llc.invalid,https://www.summit-logistics-llc.invalid,Construction,194,"$29,101,940","Charlotte, NC",https://linkedin.com/in/david-lindqvist-253,
Meridian Electrical,Aisha Chen,Operations Manager,,https://www.mailchimp.com,Industrial Services,,,"Kansas City, MO",https://linkedin.com/in/aisha-chen-254,
Ironclad Machining,Priya Gallagher,CFO,priya.gallagher@datadoghq.com,https://www.datadoghq.com,Healthcare,3781,"$866,522,018","Charlotte, NC",,
Kestrel Automotive,,Managing Director,support@gitlab.com,https://www.gitlab.com,Construction,3,,"Salt Lake City, UT",,
Blue Ridge Health Partners,Daniel Okonkwo,Co-Founder,daniel.okonkwo@atlassian.com,https://www.atlassian.com,Logistics,,"$50,179,251","Dallas, TX",,
Foxglove Manufacturing,Michael Ferreira,Director of IT,michael.ferreira@stripe.com,https://www.stripe.com,Logistics,7851,,"Dallas, TX",https://linkedin.com/in/michael-ferreira-258,+1 526-708-2401
Granite Plumbing,Sarah Ahmed,Chief Executive Officer,accounts@twilio.com,https://www.twilio.com,Professional Services,,"$45,308,160","Charlotte, NC",,
Cornerstone Freight,Claire Rasmussen,VP of Operations,claire.rasmussen@figma.com,https://www.figma.com,Food & Beverage,1,"$278,902","Indianapolis, IN",https://linkedin.com/in/claire-rasmussen-260,+1 353-650-3511
Harbor Health Partners,Nina Nakamura,Owner,sales@zendesk.com,https://www.zendesk.com,Logistics,2,"$472,270","Nashville, TN",https://linkedin.com/in/nina-nakamura-261,+1 642-982-6653
Cornerstone HVAC Services,Sarah Petrov,COO,sarah.petrov@atlassian.com,https://www.atlassian.com,Manufacturing,48,,"Phoenix, AZ",https://linkedin.com/in/sarah-petrov-262,+1 654-776-3830
Harbor Dental Group,James Nakamura,"Vice President, Finance",james@acme-hvac-services.invalid,https://www.acme-hvac-services.invalid,Manufacturing,3256,,"Kansas City, MO",https://linkedin.com/in/james-nakamura-263,
Granite Fabrication,Priya Mbeki,President,priya.mbeki@intuit.com,https://www.intuit.com,Construction,1589,"$328,041,105","Kansas City, MO",https://linkedin.com/in/priya-mbeki-264,+1 376-583-1667
Granite Fabrication,Priya Mbeki,President,priya.mbeki@intuit.com,https://www.intuit.com,Construction,1589,"$328,041,105","Kansas City, MO",https://linkedin.com/in/priya-mbeki-264,+1 376-583-1667
Meridian Distribution,James Sorensen,"Vice President, Finance",james536@yopmail.com,https://www.yopmail.com,Professional Services,36,"$4,654,296","Phoenix, AZ",https://linkedin.com/in/james-sorensen-265,+1 599-422-4597
Ironclad Manufacturing,Priya Okonkwo,"Vice President, Finance",priya.okonkwo@datadoghq.com,https://www.datadoghq.com,Professional Services,128,,"Columbus, OH",,+1 466-948-5375
Redwood Industrial,Omar Gallagher,,hello@asana.com,https://www.asana.com,Industrial Services,53,"$15,463,598","Nashville, TN",,+1 833-713-3655
Granite Dental Group,Paul Silva,Executive Assistant,paul504@yopmail.com,https://www.yopmail.com,Logistics,180,"$33,631,020","Nashville, TN",,
Blue Ridge Industrial,Sarah Bergstrom,Sales Representative,sarah.bergstrom@cloudflare.com,https://www.cloudflare.com,Logistics,3943,"$1,132,070,787","Nashville, TN",https://linkedin.com/in/sarah-bergstrom-269,+1 278-598-1384
Meridian Dental Group,,Executive Assistant,marcus.mbeki@intuit.com,https://www.intuit.com,Industrial Services,6146,,"Phoenix, AZ",,+1 843-295-8379
Blue Ridge Logistics,Priya Okonkwo,Head of Procurement,priya.okonkwo@digitalocean.com,https://www.digitalocean.com,Logistics,5695,,"Richmond, VA",https://linkedin.com/in/priya-okonkwo-271,
Silverbrook Industrial,Omar Ferreira,Operations Analyst,omarferreira89@hotmail.com,https://www.hotmail.com,Food & Beverage,85,"$24,370,605","Salt Lake City, UT",https://linkedin.com/in/omar-ferreira-272,+1 755-708-7284
Foxglove Automotive,Daniel Ibrahim,Founder,daniel.ibrahim@zoominfo.com,https://www.zoominfo.com,Wholesale Distribution,199,"$25,031,414","Salt Lake City, UT",https://linkedin.com/in/daniel-ibrahim-273,
Tidewater Facilities,Robert Hartley,Head of Procurement,robert.hartley@zoominfo.com,https://www.zoominfo.com,Logistics,,"$18,119,692","Dallas, TX",https://linkedin.com/in/robert-hartley-274,
Tidewater Packaging,Thomas Chen,Marketing Coordinator,thomas.chen@zendesk.com,https://www.zendesk.com,Facilities Management,160,,"Tampa, FL",https://linkedin.com/in/thomas-chen-275,+1 449-899-8675
Copperline HVAC Services,,Plant Manager,robert.okonkwo@mailchimp.com,https://www.mailchimp.com,Automotive,3285,"$858,597,165","Columbus, OH",https://linkedin.com/in/robert-okonkwo-276,+1 447-772-3137
Kestrel Facilities,Marcus Novak,General Manager,marcus.novak@figma.com,https://www.figma.com,Professional Services,68,"$8,753,776","Kansas City, MO",,+1 227-490-8614
Kestrel Facilities,Marcus Novak,General Manager,marcus.novak@figma.com,https://www.figma.com,Professional Services,68,"$8,753,776","Kansas City, MO",,+1 227-490-8614
Blue Ridge Automotive,,Co-Founder,michael.ibrahim@shopify.com,https://www.shopify.com,Logistics,2680,"$497,686,720","Phoenix, AZ",https://linkedin.com/in/michael-ibrahim-278,
Meridian HVAC Services,Kevin Silva,CFO,info@atlassian.com,https://www.atlassian.com,Industrial Services,9,"$1,779,795","Nashville, TN",https://linkedin.com/in/kevin-silva-279,
Northwind HVAC Services,Nina Bergstrom,CFO,ninabergstrom57@yahoo.com,https://www.yahoo.com,Logistics,760,"$222,103,920","Indianapolis, IN",https://linkedin.com/in/nina-bergstrom-280,
Meridian Facilities,Thomas Mbeki,Marketing Coordinator,thomas.mbeki@hubspot.com,https://www.hubspot.com,Manufacturing,100,"$15,839,800","Dallas, TX",,
